Filename,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Closest Text Type
2-gemma2b,-18.45,-3.12,7.08,-1.18,3.19,-0.31,Learned exposition
5-gemma2b,-15.66,-0.97,14.08,11.9,7.94,-1.35,Scientific exposition
4-gemma2b,-17.29,-5.5,10.44,-0.59,10.31,-2.04,Scientific exposition
3-gemma2b,-2.17,-1.79,10.22,-1.14,4.85,-1.88,Involved persuasion
6-gemma2b,-13.92,7.13,8.91,-0.96,10.43,-2.5,Scientific exposition
9-gemma2b,-16.3,-2.46,12.5,-1.12,7.49,-1.29,Scientific exposition
1-gemma2b,-11.9,-3.95,11.7,-2.01,3.29,-0.81,Scientific exposition
0-gemma2b,-5.43,-2.63,12.72,-3.36,4.75,-1.27,Scientific exposition
7-gemma2b,-14.77,-5.26,10.73,-1.61,6.45,-1.93,Scientific exposition
8-gemma2b,-7.59,-5.1,16.41,0.84,3.47,-1.35,Scientific exposition
gemma2b,-12.35,-2.36,11.48,0.08,6.22,-1.47,Scientific exposition