Filename,Tokens,AWL,TTR,AMP,ANDC,[BEMA],[BYPA],CAUS,CONC,COND,CONJ,[CONT],DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,[PASS],[PASTP],[PEAS],PHC,PIN,[PIRE],PIT,PLACE,POMD,PRED,[PRESP],[PRIV],PRMD,[PROD],[PUBV],RB,[SERE],[SMP],[SPAU],[SPIN],SPP2,[STPR],[SUAV],SYNE,THAC,[THATD],THVC,TIME,TO,TOBJ,TPP3,TSUB,VBD,VPRT,[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],XX0,
5-mistral,473,5.43,207,0,1.06,1.27,0,0,0,0,0.85,0,0.63,0.21,0,0,0.42,0,0.21,0.42,0,0,10.99,0.42,19.45,6.98,1.27,0.21,0,0,2.54,8.46,0,1.06,0,3.17,1.06,0,1.48,0.42,0,0.42,2.11,0.42,0,0.42,0,0,0,2.96,0,0,0.21,0.42,0.21,3.17,0.21,2.75,0.63,0.42,3.17,0,0,0,0,0.21,0,0.42,
2-mistral,478,5.72,208,0,0.84,1.88,0.21,0,0,0.21,1.05,0,1.05,0.63,0,0.42,0,0,1.26,0,0,0,7.74,0.84,16.32,10.88,0.42,0.42,0.21,0.63,3.77,10.46,0.63,0.84,0,1.05,0.84,0.84,1.46,0,0,1.26,1.88,0.21,0,0.21,0.21,0,0,0.84,0,0,0.42,1.05,0,2.93,0.42,3.14,0.84,0,7.11,0,0,0,0,0,0,0.42,
3-mistral,451,5.44,239,0.44,0.67,0.89,0,0.22,0,0,1.11,0,0.22,0.89,0,0.44,1.11,0.67,5.10,1.77,0,0,10.42,0,17.52,3.55,0.44,0.44,0,0,1.77,9.76,0.22,0.67,0,2.22,0.89,0.89,2.66,0,0,0.89,3.33,0,0,0.44,0.22,0,0,0.89,0,0,0.22,0,0.22,2.66,0.22,1.11,0,0.44,5.10,0,0.22,0,0.44,0,0.22,0.22,
4-mistral,425,5.52,203,0.47,0.71,2.12,0,0,0,0.47,1.65,0,0.71,0.24,0,0,0.24,0,0.71,0.94,0,0,6.35,0.24,24.00,3.06,0.71,0,0,0.94,3.06,12.71,0.24,1.18,0,1.88,1.88,0.24,0.47,0.71,0,0.71,2.59,0.47,0,0.47,0,0,0,0.94,0.94,0.47,0,0.24,0,1.65,0.24,2.35,0,0.24,5.18,0,0,0,0.24,0,0.47,0.24,
1-mistral,468,5.36,195,0.21,2.35,3.21,0,0,0,0,1.28,0,0.64,0.43,0,0.43,0,0,0.64,0.64,0,0,9.62,0.85,17.52,8.76,0.64,0.21,0,0,0.85,10.26,0.43,1.07,0,2.56,1.92,0,1.50,0.21,0,0.43,2.78,0.43,0,0.43,0,0,0,0.85,0,0,0.21,0.64,0,3.21,0.21,2.14,0,0,5.56,0,0,0,0,0,0,0.64,
6-mistral,400,5.72,209,0.25,2.50,0.75,0,0,0,0,1.75,0,0.50,0.25,0,0.50,0.75,0,1.00,1.00,0,0,14.00,0.25,18.50,7.00,0.25,0.75,0,0.25,1.75,7.75,0,0.25,0,3.00,0.50,1.25,1.00,0,0,4.00,3.00,0,0,0.50,0.50,0,0.25,0.75,0.50,0.25,1.75,0.50,0,1.25,0.25,2.75,0.25,0.25,4.75,0,0,0,0,0,0,0.25,
9-mistral,418,5.81,210,0,1.67,1.44,0,0,0,0,1.20,0,0.72,0.48,0,0,0.72,0,2.63,0.24,0,0,15.07,0.72,14.83,9.33,0.24,0.48,0,0,1.91,11.00,0,0.72,0.48,1.91,1.44,0,1.67,0.48,0,0.48,2.63,0,0,0,0,0,0,1.44,0,0.24,0,0.96,0.24,2.87,0.48,0,0.48,0.48,3.35,0,0,0,0,0.24,0,0.48,
7-mistral,408,5.95,217,0.25,0.25,1.96,0,0,0,0.25,0.98,0,0.74,0,0,0,0.25,0.49,0.98,0.98,0,0,8.09,0,19.12,10.05,0.25,0,0.25,0.25,1.72,10.54,0,1.72,0.49,2.45,1.96,0.25,1.72,0,0,0.25,2.94,0.25,0,0.25,0,0.49,0,0.98,0,0,0,0.49,0.25,1.96,0.25,1.23,0.25,0,4.66,0,0,0,0,0,0,0,
8-mistral,399,5.70,218,0,1.25,1.50,0,0,0.25,0,0.75,0.25,1.00,0,0,0.75,0.75,0,0.25,0,0,0,13.28,1.00,16.04,11.28,0.50,0.75,0,0,2.51,9.52,0,0.50,0.50,2.01,1.25,0.75,2.26,0,0,0.50,4.26,0.50,0,1.00,0,0,0,1.25,0,0,0.25,0.25,0,1.75,0.25,1.00,0.75,0,3.26,0,0,0,0,0,0,0.50,
0-mistral,436,5.94,206,0,0.23,0.46,0,0,0,0.23,1.38,0.23,0.23,0,0,0.23,1.15,0,0.46,2.52,0,0,11.93,0.69,17.66,5.28,0.46,0.69,0,0,1.83,8.26,0,0.92,0,3.44,0.23,0.69,3.67,0,0,1.15,4.36,0,0,0.23,0,0,0,0.46,0,0,0.69,0,0,2.75,0.23,2.06,0.46,0,3.44,0.23,0,0,0.46,0,0,0.23,
mistral,435.60,5.66,211.20,0.16,1.15,1.55,0.02,0.02,0.03,0.12,1.20,0.05,0.64,0.31,0.00,0.28,0.54,0.12,1.32,0.85,0.00,0.00,10.75,0.50,18.10,7.62,0.52,0.40,0.05,0.21,2.17,9.87,0.15,0.89,0.15,2.37,1.20,0.49,1.79,0.18,0.00,1.01,2.99,0.23,0.00,0.39,0.09,0.05,0.03,1.14,0.14,0.10,0.38,0.45,0.09,2.42,0.28,1.85,0.37,0.18,4.56,0.02,0.02,0.00,0.11,0.04,0.07,0.34,